AirPressure(hPa),Temperature(¢J),Windspeed(m/s),Rainfall(mm),Precipitation_days(day),Maximum_daily_precipitation(mm),Relative_Humidity(%),Electricity_generation
1019.3,15.1,2.9,33.5,1,33.5,74,48614
1021.1,15,3,42,6,26,73,54842
1016.6,16.3,3.3,22.5,5,8,77,49723
1015.5,19.7,2.9,49,3,39.5,71,55121
1007.8,24.7,2.8,72,11,27,84,54388
1006.1,27.5,3.8,96,5,47.5,87,61733
1005.9,28.7,3.6,7,2,6.5,83,71672
1005.5,29,2.7,41.5,5,22.5,78,57645
1008.7,27.1,2.7,36,9,17.5,76,48411
1013.7,23.7,4.6,2,1,2,62,52624
1017.5,21.6,4.2,1,2,0.5,66,47826
1019.5,15.8,4.2,27,2,18.5,68,40364
1020.2,12.9,3.5,0,0,0,64,61085
1017,16.4,3.1,38.5,3,33,74,55583
1015.6,17.4,3.2,21,5,6.5,80,55661
1013.5,20.4,3.5,60,7,32,75,54499
1008.4,26.8,3.2,76.5,12,36,93,57810
1004.9,27.2,3,46,12,12.5,93,46503
1003.4,29.1,3,1.5,2,1,84,57992
1005,28.2,2.7,165.5,8,55,89,45709
1008.4,28.8,2.5,18.5,3,11,79,61421
1012.8,25.6,4.5,0.5,1,0.5,70,54674
1016.5,20,3.4,5.5,3,2.5,66,48182
1021.2,15.9,3.9,31,2,30.5,62,47248
1019.1,14.6,3.7,45.5,3,36,72,44041
1019.2,12.8,4,39.5,5,16,77,37731
1013.5,18.4,3.5,22.5,5,12.5,76,47625
1014.3,20.3,3.5,16.5,6,6,70,64877
1011.1,20.8,3.3,183.5,13,43.5,78,43088
1005.9,26.2,3.2,175.5,13,38,93,38657
1005.2,28.8,2.9,149.5,5,105.5,86,49825
1006.5,29.2,2,48.5,5,26,80,41992
1007.2,28,2.9,0,0,0,67,50282
1014.2,24.1,4.5,0,0,0,62,50498
1015.1,21.7,3.5,62,8,35.5,76,39564
1019.8,14.6,4,17,5,5,64,40021
